REGIAO:;N
UF:;TO
ESTACAO:;SANTA FE DO ARAGUAIA
CODIGO (WMO):;A048
LATITUDE:;-7,124191
LONGITUDE:;-48,781267
ALTITUDE:;171
DATA DE FUNDACAO:;30/07/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1000 UTC;0;988,7;988,7;988;153,7;21,7;21,7;21,8;21,3;21,8;21,3;100;100;100;;;;
2022/01/01;1100 UTC;0;989,2;989,2;988,7;840,4;23,5;23;23,5;21,7;23,1;21,7;100;97;97;;;;
2022/01/01;1200 UTC;0;989,5;989,5;989,2;1290,4;24,6;23,1;24,6;23,5;23,3;22,7;97;91;91;;;;
2022/01/01;1300 UTC;0;989,7;989,7;989,5;1694,2;26;23,5;26,2;24,5;24,1;22,9;92;86;86;;;;
2022/01/01;1400 UTC;0;989,7;989,8;989,7;2225,2;27,3;24,2;27,4;25,9;24,4;23,4;88;83;83;;;;
2022/01/01;1500 UTC;0;989,1;989,7;989,1;2799,6;28,4;24,4;28,4;26,8;24,7;23,5;85;77;79;;;;
2022/01/01;1600 UTC;0;988,4;989,1;988,4;3840,2;29,8;24,5;29,8;28,2;25;23,5;80;72;73;;;;
2022/01/01;1700 UTC;0;987,4;988,4;987,4;3285,6;29,9;23,6;30,6;28,7;25,1;22,9;76;67;69;;;;
2022/01/01;1800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1900 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;2200 UTC;;;;;;;;;;;;;;;;;;
