REGIAO:;SE
UF:;MG
ESTACAO:;JOAO PINHEIRO
CODIGO (WMO):;A553
LATITUDE:;-17,784477
LONGITUDE:;-46,119394
ALTITUDE:;877,05
DATA DE FUNDACAO:;07/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;,6;913,6;913,6;912,9;;19,3;18,1;19,9;19,3;18,6;18,1;93;92;93;54;8,8;5,5;
2022/01/01;0100 UTC;1,2;914,2;914,2;913,6;;19,2;18;19,3;19,2;18,1;18;93;92;93;44;10,4;5,7;
2022/01/01;0200 UTC;0;914;914,4;914;;19,2;17,9;19,4;19,2;18,1;17,8;93;91;92;45;10,4;5,9;
2022/01/01;0300 UTC;,2;913,3;914;913,3;;19,1;17,8;19,2;18,9;17,9;17,7;93;92;92;45;10,4;5,8;
2022/01/01;0400 UTC;0;912,8;913,3;912,8;;19;17,8;19,1;19;17,9;17,7;93;92;93;29;10,2;5,7;
2022/01/01;0500 UTC;0;912,5;912,9;912,5;;19;18;19,1;18,9;18;17,8;94;93;94;33;9,4;4,6;
2022/01/01;0600 UTC;0;912,5;912,6;912,5;;19;18;19;19;18;17,9;94;94;94;27;7,5;4,3;
2022/01/01;0700 UTC;0;912,7;912,7;912,4;;18,9;18;19;18,9;18;17,9;94;94;94;31;6,9;3,9;
2022/01/01;0800 UTC;0;913,2;913,2;912,7;;19;18,1;19;18,9;18,1;18;94;94;94;33;7,4;4,1;
2022/01/01;0900 UTC;0;913,5;913,5;913,2;13,6;19;17,9;19;18,9;18;17,8;94;93;93;48;6,8;3,5;
2022/01/01;1000 UTC;0;914,3;914,3;913,5;164,3;19,3;17,9;19,3;19;18;17,8;93;91;92;29;7,2;3,7;
2022/01/01;1100 UTC;,2;914,8;914,8;914,3;321,6;19,5;18,2;19,6;19,1;18,4;17,8;93;92;92;36;6,3;3,5;
2022/01/01;1200 UTC;0;915,2;915,2;914,8;929,9;20,4;18,6;20,4;19,4;18,6;18,2;93;88;90;24;6,2;3,7;
2022/01/01;1300 UTC;0;915,3;915,4;915,2;861,1;20,6;18,5;20,7;20,2;18,8;18,2;89;87;88;36;6,4;3,1;
2022/01/01;1400 UTC;0;915,3;915,4;915,3;1002,5;21,5;18,5;21,6;20,6;19;18,3;88;82;83;28;6,1;4;
2022/01/01;1500 UTC;0;914,4;915,3;914,4;1346,7;22,5;18,8;22,5;21,5;19,2;18,4;84;79;80;19;6,1;2,8;
2022/01/01;1600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;1700 UTC;0;913;913,8;913;1227,6;23;19;23,3;22,1;19,3;18,6;82;76;79;40;6,8;3,1;
2022/01/01;1800 UTC;0;912,3;913;912,3;976,6;23,5;19,4;23,5;22,9;19,5;18,7;80;77;78;44;5,5;3,1;
2022/01/01;1900 UTC;0;912;912,3;911,8;1073,5;23,4;19;23,8;23,1;19,6;18,5;79;72;76;46;4,9;2,2;
2022/01/01;2000 UTC;6,4;912,9;912,9;912;198,8;19,4;17,9;23,4;19,1;19,7;17;91;76;91;30;10;3,9;
2022/01/01;2100 UTC;7,4;913;913,2;912,8;53,3;19,6;18,4;19,7;19,4;18,6;17,9;93;91;92;44;7,1;2,6;
2022/01/01;2200 UTC;,4;914;914;913;23;20;18,4;20,1;19,6;18,6;18,3;93;90;90;1;4,2;2,7;
2022/01/01;2300 UTC;1;914,8;914,8;914;;19,7;18,4;20;19,7;18,4;18,3;92;90;92;32;4,2;1;
2022/01/02;0000 UTC;9,6;915,5;915,5;914,8;;19,6;18,5;19,9;19,6;18,6;18,4;93;92;93;42;4,2;1,3;
2022/01/02;0100 UTC;4,2;915,6;915,6;915,5;;19,8;18,8;19,8;19,6;18,8;18,5;94;93;94;65;3,5;1,8;
2022/01/02;0200 UTC;,8;915,6;915,6;915,5;;19,7;18,7;19,8;19,6;18,8;18,6;94;94;94;56;4,8;3,2;
2022/01/02;0300 UTC;0;915,1;915,6;915,1;;19,7;18,7;19,7;19,6;18,7;18,6;94;94;94;56;6;3,4;
2022/01/02;0400 UTC;,2;914,4;915,1;914,2;,6;19,4;18,4;19,7;19,4;18,7;18,4;94;94;94;52;6,7;4,3;
2022/01/02;0500 UTC;0;914,3;914,6;914,2;,9;19,2;18,3;19,4;19,2;18,4;18,2;94;94;94;51;7,5;4,9;
2022/01/02;0600 UTC;0;914,2;914,3;914,1;;19,2;18,3;19,3;19,2;18,3;18,2;94;94;94;39;7,4;4,8;
2022/01/02;0700 UTC;0;914,3;914,3;914,2;;19,3;18,3;19,3;19,2;18,4;18,3;94;94;94;31;7,3;4;
2022/01/02;0800 UTC;,8;914,5;914,5;914,2;,1;19,4;18,4;19,4;19,3;18,4;18,3;94;94;94;32;7,1;4,2;
2022/01/02;0900 UTC;0;915,1;915,1;914,5;9,6;19,5;18,5;19,5;19,4;18,5;18,4;94;94;94;34;6,6;3,7;
2022/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2022/01/02;1100 UTC;0;916,2;916,2;915,5;388,8;20;19,1;20;19,6;19,1;18,6;94;94;94;26;5,9;3,8;
2022/01/02;1200 UTC;0;916,4;916,4;916,1;1479;21,9;20,5;22;20,1;20,9;19,2;94;92;92;5;6,1;3,7;
2022/01/02;1300 UTC;0;916,4;916,6;916,3;2290,9;23,9;20,1;23,9;21,7;20,8;19,1;93;77;79;358;7;4,1;
2022/01/02;1400 UTC;0;915,9;916,4;915,9;3258,2;24,4;19,1;24,5;23,3;20,2;18,7;79;72;73;3;8;4;
2022/01/02;1500 UTC;0;914,9;915,9;914,9;3542,9;26,1;19,2;26,1;24,3;19,6;18;74;64;66;1;8;3,2;
2022/01/02;1600 UTC;1;914,3;914,9;914,3;1772,8;23;19;26,3;22,6;21,4;18,4;84;65;78;17;8,6;4;
2022/01/02;1700 UTC;0;913,2;914,3;913,2;3030,1;26;20,2;26,1;23;20,6;18,7;81;66;70;354;7,3;3;
2022/01/02;1800 UTC;,4;912,3;913,2;912,3;2298,5;25,6;19,3;26;23,9;20,6;18,7;79;67;68;356;7,1;2,1;
2022/01/02;1900 UTC;0;911,9;912,3;911,7;2141,1;25,9;19;26,9;25,4;20,6;18,7;72;62;66;358;6;3,7;
2022/01/02;2000 UTC;,2;912,5;912,6;911,9;332;20,8;18,7;26;20,8;20,4;18,6;88;65;87;347;12,4;5,2;
2022/01/02;2100 UTC;,6;913,3;913,3;912,5;40;20,6;18,7;21,5;20,6;18,7;18,1;89;83;89;56;9,4;1;
2022/01/02;2200 UTC;0;913,8;913,8;913,3;25,4;20,8;19,3;20,9;20,5;19,3;18,6;91;89;91;42;3,4;1,6;
2022/01/02;2300 UTC;0;914,3;914,3;913,8;;21;19,7;21,2;20,8;19,7;19,3;92;89;92;19;4,8;2,5;
2022/01/03;0000 UTC;0;915,3;915,3;914,3;;20,9;19,7;21,1;20,9;19,7;19,6;93;92;93;45;4,3;1,8;
2022/01/03;0100 UTC;0;915,6;915,6;915,3;;20,7;19,6;21;20,7;19,9;19,6;94;93;94;55;4,4;2,4;
2022/01/03;0200 UTC;0;915,7;915,8;915,6;;20,4;19,4;20,7;20,3;19,7;19,3;94;94;94;68;3,8;,1;
2022/01/03;0300 UTC;0;915,5;915,7;915,5;;20,5;19,3;20,5;20,4;19,5;19,3;94;93;93;32;3;1,6;
2022/01/03;0400 UTC;0;915,1;915,6;915,1;;20,6;19,5;20,6;20,4;19,5;19,3;93;93;93;41;4,9;3,1;
2022/01/03;0500 UTC;1;914,6;915,2;914,6;;20,5;19,4;20,6;20,5;19,5;19,4;93;93;93;39;6,7;4,3;
2022/01/03;0600 UTC;,4;914,4;914,6;914,4;;20,5;19,5;20,6;20,4;19,5;19,4;94;93;94;31;7;3,7;
2022/01/03;0700 UTC;,4;914,6;914,6;914,4;;20,5;19,4;20,6;20,5;19,5;19,4;94;94;94;22;6,2;3,4;
2022/01/03;0800 UTC;1,4;914,9;914,9;914,6;;20,5;19,3;20,5;20,4;19,4;19,3;94;93;93;16;5,7;2,9;
2022/01/03;0900 UTC;0;915,4;915,4;914,9;12,2;20,4;19,4;20,5;20,4;19,4;19,3;94;93;94;26;5,9;3;
2022/01/03;1000 UTC;0;916,1;916,1;915,4;256,5;20,7;19,6;20,7;20,4;19,6;19,4;94;93;93;28;5,8;2,6;
2022/01/03;1100 UTC;0;916,2;916,2;916;774,5;21,8;19,8;22,1;20,7;20,2;19,4;93;88;89;15;5;3;
2022/01/03;1200 UTC;0;916,4;916,4;916,2;1928,3;22,9;18,7;23,8;21,8;20;18,7;89;76;77;353;5,6;2,7;
2022/01/03;1300 UTC;0;916;916,4;916;2883,1;24,8;18,8;25,1;22,8;20,2;18,6;82;69;70;359;5,4;3,2;
2022/01/03;1400 UTC;,2;915,4;916;915,4;2780,3;23,4;19,9;25;22,9;20,4;18,6;82;70;81;339;6,5;2,7;
2022/01/03;1500 UTC;0;914,6;915,4;914,6;3187,7;24,2;19,2;25,7;23,4;20,5;18,6;83;65;74;346;6,2;3;
2022/01/03;1600 UTC;0;913,5;914,6;913,5;2900,5;25,9;18,6;26;24,1;19,8;17,8;75;63;64;358;6;2,9;
2022/01/03;1700 UTC;0;912,4;913,5;912,4;3827;27,2;18,4;27,9;26;19,4;17,1;65;57;58;360;6,2;3,3;
2022/01/03;1800 UTC;0;911,5;912,4;911,4;2704,2;26,3;19,4;27,9;25,6;20,3;17,8;71;56;66;47;10,4;3,4;
2022/01/03;1900 UTC;,2;911,7;911,7;911,2;633,2;22,7;19,6;27,1;22,7;20,3;18,8;82;64;82;294;6,5;2,1;
2022/01/03;2000 UTC;2;911,1;911,7;911,1;659,8;24,2;20,4;24,2;22,3;20,9;19,5;87;78;79;15;4,3;2,6;
2022/01/03;2100 UTC;0;911,3;911,3;911;914,2;25,1;18,9;25,3;24,2;20,3;18,8;79;68;68;39;5,6;3;
2022/01/03;2200 UTC;0;912,1;912,2;911,3;119,9;23,7;19,7;25,1;23,7;19,8;18,9;79;68;79;47;5,6;2,1;
2022/01/03;2300 UTC;0;912,8;912,9;912,1;;23,3;19,7;23,7;23,2;19,9;19,4;81;77;80;26;3,7;1,7;
2022/01/04;0000 UTC;0;913;913,2;912,8;;23;19,3;23,4;23;19,8;19,1;81;78;80;9;4,9;1,3;
2022/01/04;0100 UTC;0;914,1;914,1;913;;22,5;19,6;23,4;22,5;19,7;19,3;84;78;84;349;5,5;2,5;
2022/01/04;0200 UTC;,2;914;914,1;914;;21,3;19,6;22,5;21,3;19,7;19,3;90;84;90;353;4,7;2,5;
2022/01/04;0300 UTC;6,8;913,5;914;913,5;;20,2;19;21,4;20,2;19,7;19;93;90;93;37;5,4;2,4;
2022/01/04;0400 UTC;4,6;913,2;913,6;913,1;;20;18,9;20,3;19,7;19,1;18,5;94;92;94;48;6,9;3,3;
2022/01/04;0500 UTC;1,6;913,1;913,3;913;1,1;18,8;17,3;20;18,8;18,9;17,3;94;91;91;54;12,9;7,7;
2022/01/04;0600 UTC;5,4;912,4;913,2;912,4;;19,2;18,1;19,2;18,1;18,1;16,9;94;91;94;33;12,4;5,3;
2022/01/04;0700 UTC;5,4;912,8;912,8;912,4;;19,1;18;19,6;19,1;18,6;18;94;93;94;16;13;5;
2022/01/04;0800 UTC;2,4;912,5;912,8;912,5;;19,1;18,1;19,2;18,9;18,1;17,8;94;93;94;53;8,7;2,9;
2022/01/04;0900 UTC;0;913,5;913,5;912,4;9,1;19,6;18,6;19,6;19,1;18,6;18,1;94;94;94;44;8,4;4,5;
2022/01/04;1000 UTC;0;914;914;913,5;135,7;19,9;18,8;19,9;19,6;18,9;18,6;94;94;94;33;8,4;4,6;
2022/01/04;1100 UTC;0;914,4;914,4;914;345,6;20,1;19,1;20,4;19,9;19,4;18,9;94;93;94;33;8;4,8;
2022/01/04;1200 UTC;0;914,6;914,7;914,4;465,1;20,9;19,3;20,9;20,1;19,6;19,1;94;91;91;32;7,8;3,9;
2022/01/04;1300 UTC;0;914,7;914,9;914,6;764,7;21,8;19,6;21,8;20,8;19,8;19,2;91;87;88;35;7,3;4,1;
2022/01/04;1400 UTC;0;914,3;914,7;914,3;2073,2;23,2;19,4;23,4;21,8;20,1;19,3;88;79;79;16;8,6;3,9;
2022/01/04;1500 UTC;0;913,5;914,3;913,5;2055;24,2;19,6;24,3;22,9;20,3;19;83;74;76;350;7,2;2,9;
2022/01/04;1600 UTC;0;912,8;913,5;912,8;2642,6;24,5;18,9;25,1;24,2;20,1;18,6;76;69;71;3;4,6;2,2;
2022/01/04;1700 UTC;0;911,9;912,8;911,9;2126;25,5;19,2;26;24,5;20;18,7;73;67;68;30;4,6;2,1;
2022/01/04;1800 UTC;0;911;911,9;910,9;1697,7;26;19,2;26;25,2;19,8;18,6;72;64;66;354;4,1;,1;
2022/01/04;1900 UTC;1,8;910,9;911,1;910,7;542,1;21,8;19,5;26;21,3;20,2;18,6;88;65;87;20;8,3;2,5;
2022/01/04;2000 UTC;0;911,3;911,3;910,9;1221,3;22,1;20,1;23;21,7;20,4;19,5;89;83;88;48;7,6;4,9;
2022/01/04;2100 UTC;0;912,1;912,1;911,2;474,1;21,5;19,9;22,2;21,5;20,3;19,7;90;87;90;51;8,8;4,5;
2022/01/04;2200 UTC;,4;912,6;912,6;912,1;37,2;21;19,3;21,6;20,9;20;19,3;91;89;90;42;7,7;2,7;
2022/01/04;2300 UTC;15,4;913;913;912,4;;19,5;18,5;21;19,5;19,4;18,1;94;90;94;42;11;3,4;
2022/01/05;0000 UTC;1,4;913,6;913,6;913;;19,5;18,5;19,5;19,4;18,5;18,4;94;94;94;39;7,2;3,8;
2022/01/05;0100 UTC;,2;913,9;913,9;913,6;;19,8;18,8;19,8;19,4;18,8;18,5;94;94;94;49;6,9;4,4;
2022/01/05;0200 UTC;0;914;914,1;913,9;;19,9;18,9;20;19,8;19;18,8;94;94;94;34;7,3;4,4;
2022/01/05;0300 UTC;0;913,5;914;913,5;;19,8;18,9;19,9;19,8;18,9;18,8;94;94;94;51;7,3;3,7;
2022/01/05;0400 UTC;0;913,1;913,5;913,1;,3;19,6;18,6;19,9;19,5;18,9;18,5;94;94;94;29;6,7;3,7;
2022/01/05;0500 UTC;0;912,8;913,2;912,8;,1;19,5;18,5;19,6;19,5;18,7;18,5;94;94;94;35;6,6;3,7;
2022/01/05;0600 UTC;0;912,4;912,8;912,4;,5;19,5;18,6;19,6;19,3;18,6;18,4;94;94;94;36;6,8;2,9;
2022/01/05;0700 UTC;,2;912,7;912,7;912,3;;19,4;18,4;19,6;19,3;18,6;18,4;94;94;94;22;6,1;3,6;
2022/01/05;0800 UTC;0;912,8;912,8;912,7;;19,4;18,4;19,4;19,3;18,5;18,4;94;94;94;33;6,1;3,5;
2022/01/05;0900 UTC;0;913,4;913,4;912,8;13,4;19,5;18,6;19,5;19,4;18,6;18,4;94;94;94;24;5,4;2,6;
2022/01/05;1000 UTC;0;913,9;913,9;913,4;154,6;19,8;18,9;19,9;19,5;18,9;18,6;94;94;94;30;5,2;3;
2022/01/05;1100 UTC;0;914,3;914,3;913,9;463,4;20,3;19,4;20,4;19,8;19,4;18,8;94;94;94;24;5,3;3,1;
2022/01/05;1200 UTC;;;;;;;;;;;;;;;;;;
2022/01/05;1300 UTC;,2;914,8;914,9;914,8;1290,5;21,7;20,2;22,5;21,2;21,5;20,1;94;91;92;350;6,5;2,9;
2022/01/05;1400 UTC;0;914,2;914,8;914,2;2991,3;23,4;20,1;23,6;21,6;20,8;19,7;92;82;82;356;7,6;4,4;
2022/01/05;1500 UTC;,8;913,6;914,2;913,6;2636,7;23;20,3;24,3;22,7;21;19;88;78;85;335;8,5;3,4;
2022/01/05;1600 UTC;0;912,7;913,6;912,7;2637,8;25,4;20,2;25,4;23;21;19,6;85;72;73;352;7,3;4,3;
2022/01/05;1700 UTC;0;911,5;912,7;911,5;3407,6;26,1;18,6;26,5;25,1;19,9;18,5;73;63;64;342;8,4;3,7;
2022/01/05;1800 UTC;0;910,6;911,5;910,6;2707,8;27;18,7;27,1;25,9;19,8;18,4;67;60;61;354;7;3,3;
2022/01/05;1900 UTC;0;909,9;910,6;909,9;2388,6;26,6;19,6;28,1;26,5;20,2;18,1;67;57;66;45;7;4,2;
2022/01/05;2000 UTC;0;910,3;910,4;909,9;491,3;25,9;19,3;26,6;25,7;20;18,4;70;61;67;36;6,9;2,9;
2022/01/05;2100 UTC;0;910,4;910,4;910,3;409,3;25,5;20;26,1;25,5;20;19,2;72;66;72;46;5,3;2,3;
2022/01/05;2200 UTC;0;911,3;911,3;910,4;62,5;23,8;19,6;25,5;23,8;19,9;19,6;78;70;77;50;4,7;3;
2022/01/05;2300 UTC;0;911,9;911,9;911,3;;22,9;19,3;23,8;22,9;19,6;19,2;80;77;80;48;5,6;2,7;
2022/01/06;0000 UTC;0;912,4;912,5;911,9;;22,4;19,4;23;22,4;19,4;19,3;83;80;83;60;5,4;3,2;
2022/01/06;0100 UTC;0;912,6;912,7;912,4;;22,1;19,5;22,4;22;19,5;19,4;86;83;85;52;7,6;4,3;
2022/01/06;0200 UTC;0;913;913,2;912,5;;21,8;19,4;22,1;21,7;19,5;19,3;87;85;86;43;7,8;4,8;
2022/01/06;0300 UTC;0;913,1;913,1;912,5;;21,4;19,1;21,8;21,4;19,5;19,1;88;86;87;293;7,8;2,5;
2022/01/06;0400 UTC;11,8;913,3;913,4;913,1;;20,4;19;21,4;20,4;19,5;19;92;87;92;293;6,6;3;
2022/01/06;0500 UTC;4,4;912,4;913,3;912,4;;19,2;17,8;20,4;19,2;18,8;17,8;92;88;92;283;6,7;3,2;
2022/01/06;0600 UTC;5,4;911,6;912,4;911,6;;19,3;17,9;19,3;19,1;18,1;17,8;93;92;92;277;6,3;1,3;
2022/01/06;0700 UTC;,2;912;912;911,6;;19,3;17,7;19,4;19,3;18;17,5;92;89;90;316;3;,8;
2022/01/06;0800 UTC;0;912,7;912,7;912;;19,4;18;19,4;19,2;18;17,7;92;90;92;6;2,1;1,2;
2022/01/06;0900 UTC;0;913,2;913,2;912,7;3,1;19;17,9;19,4;19;18;17,8;94;91;94;46;2,9;1;
2022/01/06;1000 UTC;,4;913,5;913,5;913,2;99,2;19,2;18,2;19,2;19;18,2;17,9;94;94;94;46;3,2;2;
2022/01/06;1100 UTC;,2;913,5;913,5;913,4;516,2;19,9;19;19,9;19,1;19;18,2;94;94;94;19;4,4;2,9;
2022/01/06;1200 UTC;0;913,9;913,9;913,5;1121,9;21,5;19,2;21,6;19,9;19,5;18,7;94;86;87;350;4,4;2;
2022/01/06;1300 UTC;0;914,5;914,5;913,9;1525,6;22,1;19,2;22,7;21,6;19,8;18,9;87;81;83;333;5;2,7;
2022/01/06;1400 UTC;0;914,3;914,5;914,3;908;22;19,2;22,4;21,8;19,4;18,6;85;80;84;346;5,9;2,7;
2022/01/06;1500 UTC;0;913,7;914,3;913,7;1623,2;22,3;19,3;23,1;21,8;20,3;19,1;88;82;83;330;5,5;2,5;
2022/01/06;1600 UTC;,2;912,8;913,7;912,7;1591,6;23,1;19,5;23,2;21,9;20,1;19;88;78;80;325;5,5;1,1;
2022/01/06;1700 UTC;0;912,3;912,8;912,3;1276;23,2;19,7;23,3;22,6;20,2;18,7;86;77;81;300;3,4;1,2;
2022/01/06;1800 UTC;0;911,4;912,3;911,4;2329,8;25,2;18,5;25,5;23,2;19,6;18,2;81;67;67;335;5,3;2,3;
2022/01/06;1900 UTC;,4;911,4;911,6;911,3;1665,4;21,8;19,1;25,9;21;19,3;17,9;89;61;85;353;10,8;2,1;
2022/01/06;2000 UTC;1,6;911,9;911,9;911,3;902,3;20,6;19;22,8;20,6;19,3;18,2;90;78;90;345;6,1;3,2;
2022/01/06;2100 UTC;1,2;912,1;912,1;911,7;323,2;21,5;19,4;21,6;20,5;19,5;18,6;90;84;88;18;5,3;1,7;
2022/01/06;2200 UTC;0;912,2;912,2;912;35,3;21,1;19,7;21,5;21,1;19,8;19,3;92;88;92;58;3,5;0;
2022/01/06;2300 UTC;1,2;913;913;912,2;;21,2;19,4;21,3;21;19,9;19;93;87;90;71;2;,7;
2022/01/07;0000 UTC;8,2;913,7;913,9;913;,2;19;17,8;21,2;19;19,5;17,8;93;90;93;39;9,3;1,1;
2022/01/07;0100 UTC;5,2;914,1;914,1;913,7;;19,7;18,6;19,7;19;18,6;17,8;94;92;94;336;3,7;1,2;
2022/01/07;0200 UTC;2,8;913,9;914,1;913,9;;19,8;18,8;19,9;19,7;18,9;18,6;94;93;94;27;4,9;3;
2022/01/07;0300 UTC;,6;913,3;914;913,3;;20;19;20;19,8;19,1;18,8;94;94;94;28;5,4;3,2;
2022/01/07;0400 UTC;,2;912,6;913,3;912,6;;19,8;18,8;20;19,8;19;18,8;94;94;94;30;6,3;4;
2022/01/07;0500 UTC;0;912,3;912,6;912,3;;19,8;18,8;19,9;19,7;18,9;18,7;94;94;94;21;6,3;2,9;
2022/01/07;0600 UTC;5,2;911,9;912,3;911,9;;20;19;20;19,8;19;18,8;94;94;94;1;5,8;2,8;
2022/01/07;0700 UTC;,6;911,7;911,9;911,7;;20,1;19,1;20,1;20;19,1;19;94;94;94;9;5,9;3,4;
2022/01/07;0800 UTC;0;912,2;912,2;911,7;;20;19;20,1;20;19,1;19;94;94;94;17;6,8;3,6;
2022/01/07;0900 UTC;0;912,8;912,8;912,2;9,6;20;19;20,1;19,9;19,1;19;94;94;94;20;6,4;3,5;
2022/01/07;1000 UTC;0;913,2;913,2;912,8;125;20,4;19,4;20,4;19,9;19,4;19;94;94;94;17;6,2;3,2;
2022/01/07;1100 UTC;,2;913,6;913,6;913,2;265,7;20,9;20;20,9;20,3;20;19,4;94;94;94;6;5,8;3,1;
2022/01/07;1200 UTC;0;914,1;914,1;913,6;469,5;21,4;20,5;21,4;20,8;20,5;19,9;95;94;94;1;5,9;3,7;
2022/01/07;1300 UTC;;;;;;;;;;;;;;;;;;
2022/01/07;1400 UTC;0;913,7;914,3;913,7;1576,9;22,6;19,7;23,2;22,3;20,8;19,7;89;83;84;343;8,4;3,9;
2022/01/07;1500 UTC;0;912,8;913,7;912,8;2407,3;24,3;19,8;24,6;22,5;20,4;19,5;86;74;76;330;8,4;3,6;
2022/01/07;1600 UTC;0;912,4;912,8;912,4;3070,2;25;20,2;25,4;24,1;20,7;19;79;69;75;290;8,7;3,5;
2022/01/07;1700 UTC;0;912;912,4;911,9;970,3;22;19,9;25;22;20;19;88;72;88;344;7,5;3,5;
2022/01/07;1800 UTC;,6;911,6;912;911,5;612;21,2;19,1;22,3;21,2;20,3;19;90;84;88;300;9,9;3,5;
2022/01/07;1900 UTC;,8;911,6;911,7;911,6;321,2;20,8;19,3;21,2;20,8;19,4;19;91;88;91;355;7,3;2,2;
2022/01/07;2000 UTC;0;911,2;911,7;911,2;468,7;21,4;19,3;21,5;20,8;19,6;19,2;91;87;88;342;3,6;1,3;
2022/01/07;2100 UTC;0;911,1;911,2;910,9;300;21,6;19,2;21,6;21,3;19,6;19;89;86;86;11;3,1;1,5;
2022/01/07;2200 UTC;0;912,2;912,2;911,1;164;20,9;19,6;21,7;20,9;19,6;19,2;92;86;92;18;4,8;2,1;
2022/01/07;2300 UTC;0;912,4;912,5;912,1;;20,7;19,6;20,9;20,7;19,6;19,5;94;92;94;32;4,3;2,6;
2022/01/08;0000 UTC;0;912,9;913;912,4;;20,7;19,7;20,8;20,7;19,8;19,6;94;94;94;28;7,4;3,7;
2022/01/08;0100 UTC;1,4;913,4;913,4;912,9;;20,8;19,8;20,9;20,7;19,9;19,6;94;94;94;20;6,3;3,7;
2022/01/08;0200 UTC;0;913,4;913,6;913,4;;20,8;19,7;20,8;20,7;19,8;19,5;94;93;93;15;7,4;4,1;
2022/01/08;0300 UTC;0;913;913,4;913;;20,7;19,6;20,9;20,7;19,8;19,5;93;92;93;6;7,4;3,6;
2022/01/08;0400 UTC;2,2;912,4;913;912,4;0;20,3;19,3;20,7;20,2;19,5;19,2;94;93;94;4;6,1;3,7;
2022/01/08;0500 UTC;1;911,9;912,4;911,9;;20,3;19,3;20,4;20,2;19,5;19,2;94;94;94;356;8,5;4,4;
2022/01/08;0600 UTC;2;911,6;912;911,6;;20,4;19,2;20,4;20,1;19,4;19,1;94;93;93;3;8,1;4,5;
2022/01/08;0700 UTC;0;911,6;911,7;911,6;0;20,3;19,1;20,5;20,3;19,3;19,1;93;92;93;360;8,1;4,7;
2022/01/08;0800 UTC;,2;911,8;911,8;911,4;;20;19;20,3;20;19,1;18,9;94;93;94;357;10,8;6,2;
2022/01/08;0900 UTC;0;912,3;912,3;911,8;6;19,9;18,7;20;19,8;19;18,5;94;92;93;1;10,8;5,5;
2022/01/08;1000 UTC;0;912,7;912,7;912,3;163,4;19,9;18,5;19,9;19,7;18,7;18,3;93;91;91;358;8,4;4;
2022/01/08;1100 UTC;0;913;913;912,7;494,5;20,7;18,8;20,7;19,9;18,9;18,5;92;88;89;1;7,5;4,1;
2022/01/08;1200 UTC;0;913,4;913,4;913;421;21;19,1;21;20,4;19,3;18,7;91;88;89;9;7,3;3,7;
2022/01/08;1300 UTC;0;913,5;913,6;913,4;857,5;22,1;19,5;22,1;21;19,9;19;90;85;85;359;8,3;4,5;
2022/01/08;1400 UTC;5,6;912,9;913,5;912,9;919,7;21,7;20,2;22,3;20,9;20,4;19,3;93;84;91;353;7,8;2,8;
2022/01/08;1500 UTC;;;;;;;;;;;;;;;;;;
2022/01/08;1600 UTC;,8;911,9;912,7;911,9;1285,1;23,1;20,9;23,1;21;20,9;19,7;92;86;88;350;8,7;2,5;
2022/01/08;1700 UTC;,2;911,5;911,9;911,4;1043,5;23;20;23,8;23;21;19,9;88;80;83;338;6,7;2;
2022/01/08;1800 UTC;18;911,9;912,6;911,3;64,1;19,7;18,6;23;19,3;20,1;18;94;82;94;14;9,4;2;
2022/01/08;1900 UTC;4,2;911,2;912;911,2;232,2;20,6;19,2;20,6;19,6;19,3;18,5;94;91;92;255;5;1,3;
2022/01/08;2000 UTC;,4;911,4;911,4;911,1;155,9;20,7;19,1;21;20,6;19,4;19,1;92;90;91;266;6,2;4;
2022/01/08;2100 UTC;1;911,7;911,7;911,3;163,5;20,6;18,8;20,7;20,3;19,1;18,8;93;89;89;276;6;2,5;
2022/01/08;2200 UTC;0;912,8;912,8;911,7;33,4;20,9;18,9;20,9;20,6;19,1;18,8;90;88;89;312;3,9;1,2;
2022/01/08;2300 UTC;0;913,5;913,5;912,8;;20,4;18,8;21;20,4;19;18,6;91;87;91;345;4,1;2;
2022/01/09;0000 UTC;0;913,4;913,5;913,4;;20,4;19,4;20,4;20,3;19,4;18,8;94;91;94;353;4,1;2,3;
2022/01/09;0100 UTC;0;913,8;913,8;913,4;;20,1;19,2;20,4;20;19,4;19,1;94;94;94;349;4,2;2,2;
