REGIAO:;NE
UF:;PE
ESTACAO:;SURUBIM
CODIGO (WMO):;A328
LATITUDE:;-7,83972221
LONGITUDE:;-35,80111111
ALTITUDE:;421,44
DATA DE FUNDACAO:;09/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2022/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2022/01/01;0900 UTC;0;965,8;965,8;965;375,8;23,2;21,3;23,2;22,1;21,3;20,3;90;89;89;238;4,1;1,8;
2022/01/01;1000 UTC;0;966,1;966,1;965,8;899;24,7;20,9;24,7;23,2;21,8;20,8;89;80;80;239;6;2,8;
2022/01/01;1100 UTC;0;966,5;966,5;966,1;1592,5;26,4;19,9;27;24,3;21,4;19,9;80;68;68;237;6,9;4,4;
2022/01/01;1200 UTC;0;966,3;966,6;966,3;2487,2;27,7;19,7;28,5;25,8;20,6;18,8;70;58;62;245;8,8;4,3;
2022/01/01;1300 UTC;0;965,9;966,3;965,9;2388,4;28;18,8;28,5;26,8;20,3;18,5;64;56;57;246;7,6;3,6;
2022/01/01;1400 UTC;0;965,1;965,9;965;3080,4;30,2;17,9;30,2;27,6;19,5;17,7;60;48;48;250;8,3;3,7;
2022/01/01;1500 UTC;0;964,3;965,1;964,3;2147,6;29,6;17,9;30,6;29,2;18,5;16,8;51;45;49;238;9,4;4,9;
2022/01/01;1600 UTC;0;963,7;964,3;963,7;2358,8;29,8;17,1;30,8;29,6;17,9;16,9;49;44;47;240;8,7;5,1;
2022/01/01;1700 UTC;0;963,1;963,7;963,1;1876,5;29,7;17,4;30,4;29,2;17,7;16,5;49;45;48;239;9,6;5,1;
2022/01/01;1800 UTC;0;963;963,1;962,9;1141,2;28,4;18;29,9;28,4;18,2;17,1;53;47;53;244;9,3;5,7;
